article,in_degree,out_degree,degree_centrality,pagerank,betweenness
Anthony Fauci,229,1365,0.4123124676668391,0.0003710716356804987,0.0001605345832824717
Hdl (identifier),54,0,0.01396792550439731,0.00036774891247325027,0.0
European Union,40,0,0.010346611484738748,0.000366727650693137,0.0
Sotrovimab,234,1349,0.40946714950853597,0.00036415633593771447,0.00043603773791764914
Bamlanivimab,235,34,0.06958096223486808,0.0003611629335856804,3.341887617852818e-05
European Medicines Agency,31,0,0.008018623900672529,0.00036089158211392993,0.0
Casirivimab/imdevimab,234,37,0.07009829280910501,0.00035628392778064874,5.0899235839875354e-05
Tixagevimab/cilgavimab,234,37,0.07009829280910501,0.0003562839277806487,4.849793447583734e-05
COVID-19 pandemic in India,225,0,0.058199689601655454,0.0003542680645087162,0.0
Bamlanivimab/etesevimab,234,28,0.0677703052250388,0.00035375390484736907,3.5885103069328645e-05
Bebtelovimab,234,26,0.06725297465080186,0.00035296104305303395,2.5754126270295934e-05
The Atlantic,18,0,0.0046559751681324365,0.00035250523922,0.0
Wuhan Institute of Virology,231,1354,0.4099844800827729,0.00035229854716652793,0.0002162503210089771
Virus,27,0,0.006983962752198655,0.00035218294058599406,0.0
Regdanvimab,234,23,0.06647697878944646,0.0003515220723651885,2.0586819811461144e-05
Coronavirus spike protein,24,0,0.006207966890843249,0.00035111876527049913,0.0
Hydroxychloroquine,28,0,0.007242628039317123,0.00034782016380530356,0.0
Nirmatrelvir/ritonavir,233,1383,0.4180031039834454,0.0003409987829112214,0.000516464200137959
Molnupiravir,233,1378,0.41670977754785304,0.00034015546374223366,0.0004239709246036831
COVID-19 lab leak theory,233,0,0.0602690118986032,0.00033995295744829206,0.0
Deafness,3,0,0.0007759958613554061,0.0003382928930103201,0.0
2-day CPET,3,13,0.004138644593895499,0.00033637473054529485,2.033514042063454e-06
AdNow,1,3,0.0010346611484738748,0.000334715500216022,0.0
3C-like protease,19,0,0.004914640455250905,0.00033465312030508466,0.0
Mental health during the COVID-19 pandemic,231,0,0.05975168132436627,0.00033411329563047976,0.0
Face masks during the COVID-19 pandemic,232,0,0.06001034661148474,0.0003341013488820578,0.0
The Times,20,0,0.005173305742369374,0.00033252060138738937,0.0
Adenovirus,4,0,0.0010346611484738748,0.00033229652974741444,0.0
COVID-19 testing,233,1398,0.42188308329022245,0.0003322917021085051,0.00022275191934337685
Coronavirus,33,0,0.008535954474909468,0.00033174220893213336,0.0
Protests against responses to the COVID-19 pandemic,231,0,0.05975168132436627,0.00033157315227373387,0.0
Antiviral drug,237,0,0.06130367304707708,0.00033127303775108816,0.0
Social distancing,231,1394,0.42033109156751164,0.0003298793021664968,0.00023477742738981883
Etesevimab,14,0,0.0036213140196585617,0.0003281566289014318,0.0
Xenophobia and racism related to the COVID-19 pandemic,230,1377,0.4156751163993792,0.0003278341585148276,0.00010094258472693714
Wuhan,134,0,0.0346611484738748,0.0003277516003093076,0.0
Yellow vests protests,227,1335,0.4040351784790481,0.00032626542164402135,1.0617016890545428e-05
COVID-19 pandemic in France,223,1341,0.40455250905328505,0.00032508891164854037,6.715111209590878e-05
"Patriotic Front (Bulgaria, 2014)",1,5,0.0015519917227108122,0.000324853454182864,0.0
