article,year,pagerank,in_degree,out_degree,in_degree_cent,out_degree_cent,betweenness,eigenvector
Medical doctor,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Medical education,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Medical genetics,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Medical microbiology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Medical school,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Medical specialty,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Medical student,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Medical terminology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Medicine,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Molecular oncology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Mosquito,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Nanomedicine,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Narcology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Needle sharing,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Negative room pressure,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Neonatology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Nephrology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Neurology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Neuropsychiatry,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Neuroradiology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Neurosurgery,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Neurosurgical anesthesia,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Nuclear medicine,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Obstetric anesthesiology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Obstetrics,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Obstetrics and gynaecology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Oncology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Ophthalmology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Oral and maxillofacial surgery,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Oral medicine,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Organ transplantation,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Orthopedic surgery,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Otorhinolaryngology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Outline of medicine,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Pain management,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Pathology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Pediatric surgery,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Pediatrics,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Personalized medicine,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Phlebology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Physical medicine and rehabilitation,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Plastic surgery,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Prison healthcare,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Psychiatry,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Pulmonology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Radiation therapy,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Radiology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Reproductive endocrinology and infertility,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Reproductive medicine,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Reproductive surgery,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Rheumatology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Rural health,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Secretion,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Sexual intercourse,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Sexual medicine,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
